,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,display_size,warranty,msoffice,latest_price
0,Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4,DDR4,0,1024,Windows,64,0,ThinNlight,Missing,0,No,324.87
1,Lenovo,Ideapad,AMD,APU Dual,10th,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,254.67
2,Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0,Windows,64,0,ThinNlight,Missing,0,No,259.87
3,Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0,Windows,64,0,ThinNlight,Missing,0,No,279.37
4,Avita,PURA,AMD,APU Dual,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,0,No,324.87
5,Avita,PURA,AMD,APU Dual,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,324.87
6,HP,APU,AMD,APU Dual,10th,4,DDR4,0,1024,Windows,32,0,Casual,14,0,No,271.7
7,Lenovo,APU,AMD,APU Dual,10th,4,DDR4,0,1024,Windows,64,0,Casual,Missing,0,No,284.64799999999997
8,HP,Athlon,AMD,Athlon Dual,10th,32,DDR4,32,0,Windows,32,4,Casual,14,0,No,349.687
9,acer,Aspire,AMD,Athlon Dual,10th,4,DDR4,256,0,Windows,64,0,Casual,Missing,1,No,415.87
10,ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,450.43699999999995
11,Lenovo,Missing,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,Casual,Missing,0,No,506.98699999999997
12,Lenovo,v15,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,519.987
13,ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,32,2,Casual,Missing,0,No,909.87
14,ASUS,VivoBook,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,350.87
15,ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,298.87
16,ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,32,0,Casual,Missing,0,No,285.87
17,ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,32,2,Casual,14,0,No,764.387
18,Lenovo,Missing,Intel,Core i5,10th,4,DDR4,0,1024,Windows,32,0,Casual,14,0,No,649.987
19,acer,Aspire,AMD,Ryzen,10th,4,DDR4,0,512,Windows,32,4,Casual,Missing,0,No,714.87
20,acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32,4,Casual,Missing,0,No,779.87
21,acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32,6,Casual,Missing,0,No,1218.1
22,acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32,4,Casual,Missing,0,No,948.87
23,Avita,Cosmos,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,227.36999999999998
24,ASUS,EeeBook,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,298.87
25,ASUS,ExpertBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,Missing,0,No,467.87
26,HP,x360,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,734.37
27,HP,x360,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,850.0699999999999
28,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,415.98699999999997
29,HP,Celeron,Intel,Celeron Dual,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,422.37
30,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,0,No,413.387
31,ASUS,VivoBook,Intel,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,Casual,Missing,0,No,388.57
32,ASUS,Celeron,Intel,Celeron Dual,Missing,4,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,311.87
33,HP,15q,Intel,Core i3,7th,4,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,428.41499999999996
34,HP,250-G6,Intel,Core i5,7th,4,DDR4,0,1024,Windows,32,2,Casual,15.6,0,No,600.6
35,ASUS,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,447.577
36,Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,ThinNlight,15.6,2,Yes,493.87
37,ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,15.6,1,Yes,467.87
38,ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,441.73999999999995
39,HP,Missing,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,Yes,519.87
40,DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,Yes,513.37
41,RedmiBook,15,Intel,Core i3,11th,8,DDR4,256,0,Windows,32,0,ThinNlight,15.6,1,No,506.87
42,HP,Pavilion,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,701.87
43,acer,Aspire,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,506.87
44,realme,Book,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,Yes,610.87
45,ASUS,Missing,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,493.87
46,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,492.57
47,Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,506.87
48,Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,493.87
49,DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,1,Yes,545.87
50,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,597.87
51,Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,519.87
52,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,552.37
53,Infinix,INBook,Intel,Core i3,10th,8,LPDDR4X,256,0,Windows,64,0,ThinNlight,14,0,No,428.87
54,DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,1,Yes,480.87
55,Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,701.87
56,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,480.87
57,Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,506.21999999999997
58,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,15,1,Yes,513.37
59,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,597.87
60,Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,15.6,2,Yes,519.987
61,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,558.87
62,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,649.87
63,DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,Yes,539.37
64,DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,0,No,545.87
65,Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,Yes,545.87
66,Infinix,INBook,Intel,Core i3,10th,8,LPDDR4X,256,0,Windows,64,0,ThinNlight,14,0,No,428.87
67,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,500.37
68,Lenovo,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,15,1,Yes,506.87
69,Lenovo,ThinkPad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,15.6,1,Yes,584.87
70,Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,474.37
71,Lenovo,Missing,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,Casual,15.6,0,No,506.60999999999996
72,HP,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,Yes,583.6999999999999
73,MSI,Missing,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,0,No,506.87
74,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,0,No,577.5509999999999
75,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,Missing,1,No,467.87
76,Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,Missing,1,Yes,522.6
77,Lenovo,Missing,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,532.87
78,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,No,552.37
79,realme,Book,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,Yes,623.987
80,acer,Chromebook,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,32,0,Casual,Missing,0,No,311.87
81,DELL,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,Missing,0,No,935.987
82,ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,Missing,1,No,519.87
83,Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,Missing,1,Yes,545.9739999999999
84,ASUS,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,545.87
85,Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,Missing,2,Yes,519.987
86,ASUS,Commercial,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,519.87
87,Lenovo,Ideapad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,Missing,0,No,519.9739999999999
88,HP,14s,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,Yes,552.37
89,Lenovo,Missing,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,545.87
90,ASUS,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,630.37
91,HP,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,Yes,576.8879999999999
92,DELL,Missing,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,570.6999999999999
93,DELL,INSPIRON,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,Missing,1,No,606.97
94,Lenovo,Missing,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,Missing,0,No,532.87
95,DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,No,519.87
96,Lenovo,V15,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,0,No,571.87
97,ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,Missing,1,No,480.87
98,DELL,Missing,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,630.5
99,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,0,No,636.87
100,ASUS,Chromebook,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,305.37
101,HP,Pavilion,Intel,Core i3,8th,4,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,705.0939999999999
102,ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,493.87
103,HP,Missing,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,Yes,558.87
104,HP,Missing,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,Yes,558.87
105,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,467.87
106,RedmiBook,15,Intel,Core i3,11th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,558.87
107,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,558.87
108,ASUS,VivoBook,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,14,1,Yes,675.87
109,ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,636.87
